,param_logreg__C,param_logreg__class_weight,param_logreg__max_iter,param_logreg__penalty,param_logreg__solver,param_logreg__tol,mean_test_score,std_test_score,name
129,0.0001,,1000,,lbfgs,1,0.7440446127946128,0.004612667887615097,no_smote_logreg
140,0.0001,,1000,,sag,0.0001,0.7441287878787879,0.004852585918715497,no_smote_logreg
141,0.0001,,1000,,sag,0.001,0.7440025252525253,0.004562666160360861,no_smote_logreg
142,0.0001,,1000,,sag,0.01,0.7375841750841751,0.004866073450662247,no_smote_logreg
143,0.0001,,1000,,sag,0.1,0.7303872053872055,0.004212224999865181,no_smote_logreg
144,0.0001,,1000,,sag,1,0.7145833333333333,0.0018616305180636857,no_smote_logreg
145,0.0001,,1000,,saga,0.0001,0.7440656565656566,0.004788833653664856,no_smote_logreg
146,0.0001,,1000,,saga,0.001,0.7438762626262626,0.005245938198950484,no_smote_logreg
147,0.0001,,1000,,saga,0.01,0.7348695286195286,0.0039038322294053123,no_smote_logreg
148,0.0001,,1000,,saga,0.1,0.7276515151515152,0.002706886698689464,no_smote_logreg
149,0.0001,,1000,,saga,1,0.7147516835016834,0.0018962761491698441,no_smote_logreg
150,0.0001,,1000,l2,liblinear,0.0001,0.6742003367003366,0.0030557700437653483,no_smote_logreg
151,0.0001,,1000,l2,liblinear,0.001,0.6742424242424242,0.0030166816470604926,no_smote_logreg
152,0.0001,,1000,l2,liblinear,0.01,0.6738846801346801,0.0028604051073310055,no_smote_logreg
153,0.0001,,1000,l2,liblinear,0.1,0.6738846801346801,0.0028604051073310055,no_smote_logreg
154,0.0001,,1000,l2,liblinear,1,0.6743686868686869,0.0031371456487515608,no_smote_logreg
155,0.0001,,1000,l2,lbfgs,0.0001,0.6853324915824917,0.003018589406909282,no_smote_logreg
156,0.0001,,1000,l2,lbfgs,0.001,0.6853324915824917,0.003018589406909282,no_smote_logreg
157,0.0001,,1000,l2,lbfgs,0.01,0.6853324915824917,0.003018589406909282,no_smote_logreg
158,0.0001,,1000,l2,lbfgs,0.1,0.6853324915824917,0.003018589406909282,no_smote_logreg
159,0.0001,,1000,l2,lbfgs,1,0.6853324915824917,0.003018589406909282,no_smote_logreg
165,0.0001,,1000,l2,newton-cholesky,0.0001,0.6669823232323233,0.003171960215726742,no_smote_logreg
166,0.0001,,1000,l2,newton-cholesky,0.001,0.6669823232323233,0.003171960215726742,no_smote_logreg
167,0.0001,,1000,l2,newton-cholesky,0.01,0.6669823232323233,0.003171960215726742,no_smote_logreg
168,0.0001,,1000,l2,newton-cholesky,0.1,0.6694023569023569,0.0029090682577213867,no_smote_logreg
169,0.0001,,1000,l2,newton-cholesky,1,0.6694023569023569,0.0029090682577213867,no_smote_logreg
170,0.0001,,1000,l2,sag,0.0001,0.6852904040404041,0.002973805774737293,no_smote_logreg
171,0.0001,,1000,l2,sag,0.001,0.6852272727272728,0.0030889216724053277,no_smote_logreg
172,0.0001,,1000,l2,sag,0.01,0.6857744107744108,0.0030702277798759577,no_smote_logreg
173,0.0001,,1000,l2,sag,0.1,0.6855008417508417,0.002908307020430432,no_smote_logreg
174,0.0001,,1000,l2,sag,1,0.6880892255892256,0.0032339011300165873,no_smote_logreg
175,0.0001,,1000,l2,saga,0.0001,0.6852904040404041,0.0031156154079666322,no_smote_logreg
176,0.0001,,1000,l2,saga,0.001,0.6851851851851852,0.003049532143558393,no_smote_logreg
177,0.0001,,1000,l2,saga,0.01,0.685206228956229,0.0033666087731742235,no_smote_logreg
178,0.0001,,1000,l2,saga,0.1,0.6890993265993266,0.0036115672759371572,no_smote_logreg
179,0.0001,,1000,l2,saga,1,0.6936237373737374,0.0020341828238374824,no_smote_logreg
180,0.0001,,1000,l1,liblinear,0.0001,0.5432449494949495,0.0,no_smote_logreg
181,0.0001,,1000,l1,liblinear,0.001,0.5432449494949495,0.0,no_smote_logreg
182,0.0001,,1000,l1,liblinear,0.01,0.5432449494949495,0.0,no_smote_logreg
183,0.0001,,1000,l1,liblinear,0.1,0.5432449494949495,0.0,no_smote_logreg
184,0.0001,,1000,l1,liblinear,1,0.5432449494949495,0.0,no_smote_logreg
205,0.0001,,1000,l1,saga,0.0001,0.5432449494949495,0.0,no_smote_logreg
206,0.0001,,1000,l1,saga,0.001,0.5432449494949495,0.0,no_smote_logreg
207,0.0001,,1000,l1,saga,0.01,0.5432449494949495,0.0,no_smote_logreg
208,0.0001,,1000,l1,saga,0.1,0.5432449494949495,0.0,no_smote_logreg
209,0.0001,,1000,l1,saga,1,0.5432449494949495,0.0,no_smote_logreg
245,0.0001,,10000,,lbfgs,0.0001,0.7441077441077442,0.004457605214625092,no_smote_logreg
246,0.0001,,10000,,lbfgs,0.001,0.7441077441077442,0.004457605214625092,no_smote_logreg
247,0.0001,,10000,,lbfgs,0.01,0.7441077441077442,0.004457605214625092,no_smote_logreg
248,0.0001,,10000,,lbfgs,0.1,0.7441077441077442,0.004457605214625092,no_smote_logreg
249,0.0001,,10000,,lbfgs,1,0.7440446127946128,0.004612667887615097,no_smote_logreg
260,0.0001,,10000,,sag,0.0001,0.7441077441077442,0.004546136468364056,no_smote_logreg
261,0.0001,,10000,,sag,0.001,0.744023569023569,0.004574491832328409,no_smote_logreg
262,0.0001,,10000,,sag,0.01,0.7376683501683502,0.004955528829694105,no_smote_logreg
263,0.0001,,10000,,sag,0.1,0.7298611111111112,0.004733959886688622,no_smote_logreg
264,0.0001,,10000,,sag,1,0.7142676767676767,0.0033654247140915204,no_smote_logreg
265,0.0001,,10000,,saga,0.0001,0.7441498316498316,0.004771231334631647,no_smote_logreg
266,0.0001,,10000,,saga,0.001,0.7438552188552189,0.00524348956800934,no_smote_logreg
267,0.0001,,10000,,saga,0.01,0.7348274410774411,0.004006835687530769,no_smote_logreg
268,0.0001,,10000,,saga,0.1,0.7274200336700336,0.0025415091209842846,no_smote_logreg
269,0.0001,,10000,,saga,1,0.7147516835016834,0.0022180973220625004,no_smote_logreg
270,0.0001,,10000,l2,liblinear,0.0001,0.6742003367003366,0.0030557700437653483,no_smote_logreg
271,0.0001,,10000,l2,liblinear,0.001,0.6742424242424242,0.0030166816470604926,no_smote_logreg
272,0.0001,,10000,l2,liblinear,0.01,0.6738846801346801,0.0028604051073310055,no_smote_logreg
273,0.0001,,10000,l2,liblinear,0.1,0.6738846801346801,0.0028604051073310055,no_smote_logreg
274,0.0001,,10000,l2,liblinear,1,0.6743686868686869,0.0031371456487515608,no_smote_logreg
275,0.0001,,10000,l2,lbfgs,0.0001,0.6853324915824917,0.003018589406909282,no_smote_logreg
276,0.0001,,10000,l2,lbfgs,0.001,0.6853324915824917,0.003018589406909282,no_smote_logreg
277,0.0001,,10000,l2,lbfgs,0.01,0.6853324915824917,0.003018589406909282,no_smote_logreg
278,0.0001,,10000,l2,lbfgs,0.1,0.6853324915824917,0.003018589406909282,no_smote_logreg
279,0.0001,,10000,l2,lbfgs,1,0.6853324915824917,0.003018589406909282,no_smote_logreg
285,0.0001,,10000,l2,newton-cholesky,0.0001,0.6669823232323233,0.003171960215726742,no_smote_logreg
286,0.0001,,10000,l2,newton-cholesky,0.001,0.6669823232323233,0.003171960215726742,no_smote_logreg
287,0.0001,,10000,l2,newton-cholesky,0.01,0.6669823232323233,0.003171960215726742,no_smote_logreg
288,0.0001,,10000,l2,newton-cholesky,0.1,0.6694023569023569,0.0029090682577213867,no_smote_logreg
289,0.0001,,10000,l2,newton-cholesky,1,0.6694023569023569,0.0029090682577213867,no_smote_logreg
290,0.0001,,10000,l2,sag,0.0001,0.6852904040404041,0.002973805774737293,no_smote_logreg
291,0.0001,,10000,l2,sag,0.001,0.6852272727272728,0.0030889216724053277,no_smote_logreg
292,0.0001,,10000,l2,sag,0.01,0.6855218855218855,0.002969633265080939,no_smote_logreg
293,0.0001,,10000,l2,sag,0.1,0.686026936026936,0.003221140826317703,no_smote_logreg
294,0.0001,,10000,l2,sag,1,0.6887626262626263,0.003687166554700197,no_smote_logreg
295,0.0001,,10000,l2,saga,0.0001,0.6852904040404041,0.0029797563675307893,no_smote_logreg
296,0.0001,,10000,l2,saga,0.001,0.685206228956229,0.0030512742357562146,no_smote_logreg
297,0.0001,,10000,l2,saga,0.01,0.685206228956229,0.0033388713221269174,no_smote_logreg
298,0.0001,,10000,l2,saga,0.1,0.6901515151515152,0.0038426640439438793,no_smote_logreg
299,0.0001,,10000,l2,saga,1,0.694023569023569,0.003126965592762049,no_smote_logreg
300,0.0001,,10000,l1,liblinear,0.0001,0.5432449494949495,0.0,no_smote_logreg
301,0.0001,,10000,l1,liblinear,0.001,0.5432449494949495,0.0,no_smote_logreg
302,0.0001,,10000,l1,liblinear,0.01,0.5432449494949495,0.0,no_smote_logreg
303,0.0001,,10000,l1,liblinear,0.1,0.5432449494949495,0.0,no_smote_logreg
304,0.0001,,10000,l1,liblinear,1,0.5432449494949495,0.0,no_smote_logreg
325,0.0001,,10000,l1,saga,0.0001,0.5432449494949495,0.0,no_smote_logreg
326,0.0001,,10000,l1,saga,0.001,0.5432449494949495,0.0,no_smote_logreg
327,0.0001,,10000,l1,saga,0.01,0.5432449494949495,0.0,no_smote_logreg
328,0.0001,,10000,l1,saga,0.1,0.5432449494949495,0.0,no_smote_logreg
329,0.0001,,10000,l1,saga,1,0.5432449494949495,0.0,no_smote_logreg
365,0.0001,balanced,100,,lbfgs,0.0001,0.6309974747474747,0.005198705944107068,no_smote_logreg
366,0.0001,balanced,100,,lbfgs,0.001,0.6309974747474747,0.005198705944107068,no_smote_logreg
367,0.0001,balanced,100,,lbfgs,0.01,0.6309974747474747,0.005198705944107068,no_smote_logreg
368,0.0001,balanced,100,,lbfgs,0.1,0.6309974747474747,0.005198705944107068,no_smote_logreg
369,0.0001,balanced,100,,lbfgs,1,0.6309974747474747,0.005198705944107068,no_smote_logreg
380,0.0001,balanced,100,,sag,0.0001,0.634827441077441,0.004179506964182349,no_smote_logreg
381,0.0001,balanced,100,,sag,0.001,0.6349326599326599,0.004164646825328747,no_smote_logreg
382,0.0001,balanced,100,,sag,0.01,0.6346170033670033,0.0031590898997971815,no_smote_logreg
383,0.0001,balanced,100,,sag,0.1,0.6280303030303029,0.005463037539762703,no_smote_logreg
384,0.0001,balanced,100,,sag,1,0.5958333333333333,0.010611862757440837,no_smote_logreg
385,0.0001,balanced,100,,saga,0.0001,0.6365530303030302,0.004120174759683754,no_smote_logreg
386,0.0001,balanced,100,,saga,0.001,0.6366792929292929,0.004264674795389533,no_smote_logreg
387,0.0001,balanced,100,,saga,0.01,0.6329545454545455,0.004053098044613988,no_smote_logreg
388,0.0001,balanced,100,,saga,0.1,0.6205808080808082,0.0063453163871159575,no_smote_logreg
389,0.0001,balanced,100,,saga,1,0.5984217171717173,0.007240892219079879,no_smote_logreg
390,0.0001,balanced,100,l2,liblinear,0.0001,0.6737584175084175,0.0026330795150870142,no_smote_logreg
391,0.0001,balanced,100,l2,liblinear,0.001,0.6738215488215488,0.0026643441978983543,no_smote_logreg
392,0.0001,balanced,100,l2,liblinear,0.01,0.673526936026936,0.00247602122560315,no_smote_logreg
393,0.0001,balanced,100,l2,liblinear,0.1,0.6724957912457913,0.0026805832767560845,no_smote_logreg
394,0.0001,balanced,100,l2,liblinear,1,0.6725378787878789,0.002477809095881349,no_smote_logreg
395,0.0001,balanced,100,l2,lbfgs,0.0001,0.5578072390572391,0.003867476433555602,no_smote_logreg
396,0.0001,balanced,100,l2,lbfgs,0.001,0.5578072390572391,0.003867476433555602,no_smote_logreg
397,0.0001,balanced,100,l2,lbfgs,0.01,0.5578072390572391,0.003867476433555602,no_smote_logreg
398,0.0001,balanced,100,l2,lbfgs,0.1,0.5578072390572391,0.003867476433555602,no_smote_logreg
399,0.0001,balanced,100,l2,lbfgs,1,0.5577651515151516,0.0038682778763041766,no_smote_logreg
405,0.0001,balanced,100,l2,newton-cholesky,0.0001,0.5822811447811448,0.005696218812698887,no_smote_logreg
406,0.0001,balanced,100,l2,newton-cholesky,0.001,0.5822811447811448,0.005696218812698887,no_smote_logreg
407,0.0001,balanced,100,l2,newton-cholesky,0.01,0.5822811447811448,0.005696218812698887,no_smote_logreg
408,0.0001,balanced,100,l2,newton-cholesky,0.1,0.5833333333333334,0.005458415096590403,no_smote_logreg
409,0.0001,balanced,100,l2,newton-cholesky,1,0.5833333333333334,0.005458415096590403,no_smote_logreg
410,0.0001,balanced,100,l2,sag,0.0001,0.5570496632996633,0.00393490384129044,no_smote_logreg
411,0.0001,balanced,100,l2,sag,0.001,0.554503367003367,0.005058828018635164,no_smote_logreg
412,0.0001,balanced,100,l2,sag,0.01,0.554145622895623,0.004820631449229009,no_smote_logreg
413,0.0001,balanced,100,l2,sag,0.1,0.5561026936026936,0.007704549638927959,no_smote_logreg
414,0.0001,balanced,100,l2,sag,1,0.5426767676767678,0.007980723585664876,no_smote_logreg
415,0.0001,balanced,100,l2,saga,0.0001,0.5558712121212122,0.004182366774905671,no_smote_logreg
416,0.0001,balanced,100,l2,saga,0.001,0.5554503367003367,0.004739288976518271,no_smote_logreg
417,0.0001,balanced,100,l2,saga,0.01,0.5562289562289562,0.00414065273173646,no_smote_logreg
418,0.0001,balanced,100,l2,saga,0.1,0.5604377104377105,0.006760784302005074,no_smote_logreg
419,0.0001,balanced,100,l2,saga,1,0.5595749158249159,0.016160931128509432,no_smote_logreg
420,0.0001,balanced,100,l1,liblinear,0.0001,0.5432449494949495,0.0,no_smote_logreg
421,0.0001,balanced,100,l1,liblinear,0.001,0.5432449494949495,0.0,no_smote_logreg
422,0.0001,balanced,100,l1,liblinear,0.01,0.5432449494949495,0.0,no_smote_logreg
423,0.0001,balanced,100,l1,liblinear,0.1,0.5432449494949495,0.0,no_smote_logreg
424,0.0001,balanced,100,l1,liblinear,1,0.5432449494949495,0.0,no_smote_logreg
445,0.0001,balanced,100,l1,saga,0.0001,0.41597222222222224,0.06363636363636364,no_smote_logreg
446,0.0001,balanced,100,l1,saga,0.001,0.2595328282828283,0.15262919041205789,no_smote_logreg
447,0.0001,balanced,100,l1,saga,0.01,0.16672979797979798,0.18825757575757576,no_smote_logreg
448,0.0001,balanced,100,l1,saga,0.1,0.41597222222222224,0.06363636363636364,no_smote_logreg
449,0.0001,balanced,100,l1,saga,1,0.3008627946127946,0.18292458939426573,no_smote_logreg
485,0.0001,balanced,1000,,lbfgs,0.0001,0.6315025252525253,0.004907035608002739,no_smote_logreg
486,0.0001,balanced,1000,,lbfgs,0.001,0.6315025252525253,0.004907035608002739,no_smote_logreg
487,0.0001,balanced,1000,,lbfgs,0.01,0.6315025252525253,0.004907035608002739,no_smote_logreg
488,0.0001,balanced,1000,,lbfgs,0.1,0.6315025252525253,0.004907035608002739,no_smote_logreg
489,0.0001,balanced,1000,,lbfgs,1,0.6313131313131313,0.004867438344368824,no_smote_logreg
500,0.0001,balanced,1000,,sag,0.0001,0.632175925925926,0.004993363619516466,no_smote_logreg
501,0.0001,balanced,1000,,sag,0.001,0.6330387205387206,0.00428828477215699,no_smote_logreg
502,0.0001,balanced,1000,,sag,0.01,0.6339646464646466,0.0028524984956125048,no_smote_logreg
503,0.0001,balanced,1000,,sag,0.1,0.627104377104377,0.00805621960539082,no_smote_logreg
504,0.0001,balanced,1000,,sag,1,0.6093223905723905,0.02416224494459763,no_smote_logreg
505,0.0001,balanced,1000,,saga,0.0001,0.6328914141414141,0.004605173390294426,no_smote_logreg
506,0.0001,balanced,1000,,saga,0.001,0.6340698653198654,0.004909291239394384,no_smote_logreg
507,0.0001,balanced,1000,,saga,0.01,0.6327441077441078,0.003977551074292607,no_smote_logreg
508,0.0001,balanced,1000,,saga,0.1,0.6200126262626263,0.0068686559218950225,no_smote_logreg
509,0.0001,balanced,1000,,saga,1,0.5976641414141415,0.00874454149271207,no_smote_logreg
510,0.0001,balanced,1000,l2,liblinear,0.0001,0.6737584175084175,0.0026330795150870142,no_smote_logreg
511,0.0001,balanced,1000,l2,liblinear,0.001,0.6738215488215488,0.0026643441978983543,no_smote_logreg
512,0.0001,balanced,1000,l2,liblinear,0.01,0.673526936026936,0.00247602122560315,no_smote_logreg
513,0.0001,balanced,1000,l2,liblinear,0.1,0.6724957912457913,0.0026805832767560845,no_smote_logreg
514,0.0001,balanced,1000,l2,liblinear,1,0.6725378787878789,0.002477809095881349,no_smote_logreg
515,0.0001,balanced,1000,l2,lbfgs,0.0001,0.5578072390572391,0.003867476433555602,no_smote_logreg
516,0.0001,balanced,1000,l2,lbfgs,0.001,0.5578072390572391,0.003867476433555602,no_smote_logreg
517,0.0001,balanced,1000,l2,lbfgs,0.01,0.5578072390572391,0.003867476433555602,no_smote_logreg
518,0.0001,balanced,1000,l2,lbfgs,0.1,0.5578072390572391,0.003867476433555602,no_smote_logreg
519,0.0001,balanced,1000,l2,lbfgs,1,0.5577651515151516,0.0038682778763041766,no_smote_logreg
525,0.0001,balanced,1000,l2,newton-cholesky,0.0001,0.5822811447811448,0.005696218812698887,no_smote_logreg
526,0.0001,balanced,1000,l2,newton-cholesky,0.001,0.5822811447811448,0.005696218812698887,no_smote_logreg
527,0.0001,balanced,1000,l2,newton-cholesky,0.01,0.5822811447811448,0.005696218812698887,no_smote_logreg
528,0.0001,balanced,1000,l2,newton-cholesky,0.1,0.5833333333333334,0.005458415096590403,no_smote_logreg
529,0.0001,balanced,1000,l2,newton-cholesky,1,0.5833333333333334,0.005458415096590403,no_smote_logreg
530,0.0001,balanced,1000,l2,sag,0.0001,0.5580176767676768,0.0038057239578539277,no_smote_logreg
531,0.0001,balanced,1000,l2,sag,0.001,0.5544402356902356,0.005069146992627799,no_smote_logreg
532,0.0001,balanced,1000,l2,sag,0.01,0.5539772727272727,0.0052046653240394,no_smote_logreg
533,0.0001,balanced,1000,l2,sag,0.1,0.5566708754208755,0.004115980868147363,no_smote_logreg
534,0.0001,balanced,1000,l2,sag,1,0.5618055555555556,0.01664967951267251,no_smote_logreg
535,0.0001,balanced,1000,l2,saga,0.0001,0.556986531986532,0.003878909901513117,no_smote_logreg
536,0.0001,balanced,1000,l2,saga,0.001,0.5554924242424242,0.004905320634455723,no_smote_logreg
537,0.0001,balanced,1000,l2,saga,0.01,0.5553661616161616,0.004590919431437663,no_smote_logreg
538,0.0001,balanced,1000,l2,saga,0.1,0.5632154882154883,0.010520707004706387,no_smote_logreg
539,0.0001,balanced,1000,l2,saga,1,0.5601220538720539,0.015923976032211434,no_smote_logreg
540,0.0001,balanced,1000,l1,liblinear,0.0001,0.5432449494949495,0.0,no_smote_logreg
541,0.0001,balanced,1000,l1,liblinear,0.001,0.5432449494949495,0.0,no_smote_logreg
542,0.0001,balanced,1000,l1,liblinear,0.01,0.5432449494949495,0.0,no_smote_logreg
543,0.0001,balanced,1000,l1,liblinear,0.1,0.5432449494949495,0.0,no_smote_logreg
544,0.0001,balanced,1000,l1,liblinear,1,0.5432449494949495,0.0,no_smote_logreg
565,0.0001,balanced,1000,l1,saga,0.0001,0.3231691919191919,0.21267564852100296,no_smote_logreg
566,0.0001,balanced,1000,l1,saga,0.001,0.38547979797979803,0.17185827721468427,no_smote_logreg
567,0.0001,balanced,1000,l1,saga,0.01,0.26085858585858585,0.23056750040970445,no_smote_logreg
568,0.0001,balanced,1000,l1,saga,0.1,0.19722222222222222,0.15262919041205786,no_smote_logreg
569,0.0001,balanced,1000,l1,saga,1,0.3615530303030303,0.13913453941842635,no_smote_logreg
605,0.0001,balanced,10000,,lbfgs,0.0001,0.6312920875420875,0.004762312790128395,no_smote_logreg
606,0.0001,balanced,10000,,lbfgs,0.001,0.6312920875420875,0.004762312790128395,no_smote_logreg
607,0.0001,balanced,10000,,lbfgs,0.01,0.6312920875420875,0.004762312790128395,no_smote_logreg
608,0.0001,balanced,10000,,lbfgs,0.1,0.6312920875420875,0.004762312790128395,no_smote_logreg
609,0.0001,balanced,10000,,lbfgs,1,0.6313131313131313,0.004867438344368824,no_smote_logreg
620,0.0001,balanced,10000,,sag,0.0001,0.6316077441077441,0.0049488220757032166,no_smote_logreg
621,0.0001,balanced,10000,,sag,0.001,0.6330176767676768,0.004212645507503233,no_smote_logreg
622,0.0001,balanced,10000,,sag,0.01,0.6344065656565656,0.0032243013005546924,no_smote_logreg
623,0.0001,balanced,10000,,sag,0.1,0.621696127946128,0.004616506500094539,no_smote_logreg
624,0.0001,balanced,10000,,sag,1,0.604776936026936,0.012573261373380091,no_smote_logreg
625,0.0001,balanced,10000,,saga,0.0001,0.6316077441077441,0.005093462095679464,no_smote_logreg
626,0.0001,balanced,10000,,saga,0.001,0.6340277777777779,0.004912447383349406,no_smote_logreg
627,0.0001,balanced,10000,,saga,0.01,0.632996632996633,0.0040865031143136905,no_smote_logreg
628,0.0001,balanced,10000,,saga,0.1,0.6199284511784512,0.005627940084861754,no_smote_logreg
629,0.0001,balanced,10000,,saga,1,0.6109638047138046,0.010362128937501373,no_smote_logreg
630,0.0001,balanced,10000,l2,liblinear,0.0001,0.6737584175084175,0.0026330795150870142,no_smote_logreg
631,0.0001,balanced,10000,l2,liblinear,0.001,0.6738215488215488,0.0026643441978983543,no_smote_logreg
632,0.0001,balanced,10000,l2,liblinear,0.01,0.673526936026936,0.00247602122560315,no_smote_logreg
633,0.0001,balanced,10000,l2,liblinear,0.1,0.6724957912457913,0.0026805832767560845,no_smote_logreg
634,0.0001,balanced,10000,l2,liblinear,1,0.6725378787878789,0.002477809095881349,no_smote_logreg
635,0.0001,balanced,10000,l2,lbfgs,0.0001,0.5578072390572391,0.003867476433555602,no_smote_logreg
636,0.0001,balanced,10000,l2,lbfgs,0.001,0.5578072390572391,0.003867476433555602,no_smote_logreg
637,0.0001,balanced,10000,l2,lbfgs,0.01,0.5578072390572391,0.003867476433555602,no_smote_logreg
638,0.0001,balanced,10000,l2,lbfgs,0.1,0.5578072390572391,0.003867476433555602,no_smote_logreg
639,0.0001,balanced,10000,l2,lbfgs,1,0.5577651515151516,0.0038682778763041766,no_smote_logreg
645,0.0001,balanced,10000,l2,newton-cholesky,0.0001,0.5822811447811448,0.005696218812698887,no_smote_logreg
646,0.0001,balanced,10000,l2,newton-cholesky,0.001,0.5822811447811448,0.005696218812698887,no_smote_logreg
647,0.0001,balanced,10000,l2,newton-cholesky,0.01,0.5822811447811448,0.005696218812698887,no_smote_logreg
648,0.0001,balanced,10000,l2,newton-cholesky,0.1,0.5833333333333334,0.005458415096590403,no_smote_logreg
649,0.0001,balanced,10000,l2,newton-cholesky,1,0.5833333333333334,0.005458415096590403,no_smote_logreg
